# English physical dialogue catalog; translation fields are intentionally blank until review.
record_id	region	start_offset	terminator_offset	length_without_terminator	raw_hex	control_summary	ascii_chars	line_breaks	page_breaks	has_highlight	classification	english	korean_translation	translation_status	required_hangul	missing_hangul	length_delta
EN-05806C	main-dialogue-1	0x05806C	0x05808C	32	D7 C3 02 DC 07 20 2E 2E 2E 2E 2E 2E 2E 2E 2E CD DC 00 20 4E 6F 20 E3 78 69 73 20 68 6F 6D 65 2E	00:1 02:1 07:1 C3:1 CD:1 D7:1 DC:2 E3:1	23	1	0	True	confirmed-record	[TOP][YELLOW][DC][07] .........\n[DC][00] No [E3]xis home.		pending			
EN-058119	main-dialogue-1	0x058119	0x058145	44	D7 20 C2 00 20 6C 6F 6F 6B 73 CD 20 69 6E 20 E3 00 6D 61 69 6C 62 6F 78 2E CD 20 4E 6F 74 68 69 6E 67 20 69 73 20 74 68 65 72 65 2E	00:2 C2:1 CD:2 D7:1 E3:1	37	2	0	False	confirmed-record	[TOP] [NAME] looks\n in [E3][00]mailbox.\n Nothing is there.		pending			
EN-058146	main-dialogue-1	0x058146	0x0581C0	122	D7 20 C2 00 CD 20 E3 91 69 6E 20 E3 00 6D 61 69 6C 62 6F 78 2E CD C9 0A 20 41 20 C3 03 4C 6F 76 65 20 4C 65 74 74 65 72 C3 00 21 D1 C3 02 20 50 6F 6C 6F 6E 2C 20 E3 01 E3 1C 74 68 65 CD 20 73 75 6E 73 68 69 6E 65 20 6F 66 20 6D 79 20 6C 69 66 65 2E CD 20 49 20 E3 29 74 6F 20 E3 5E E3 01 61 6C 77 61 79 73 2E CD CE 0F E3 40 53 65 63 72 65 74 20 41 64 6D 69 72 65 72	00:3 01:2 02:1 03:1 0A:1 0F:1 1C:1 91:1 C2:1 C3:3 C9:1 CD:5 CE:1 D1:1 D7:1 E3:8	90	5	1	True	confirmed-record	[TOP] [NAME]\n [E3][91]in [E3][00]mailbox.\n[C9][0A] A [PINK]Love Letter[/HIGHLIGHT]!\f[YELLOW] Polon, [E3][01][E3][1C]the\n sunshine of my life.\n I [E3])to [E3]^[E3][01]always.\n[CE][0F][E3]@Secret Admirer		pending			
EN-0581C1	main-dialogue-1	0x0581C1	0x058218	87	D7 E0 01 C2 00 2C 20 68 65 61 72 20 74 68 61 74 3F CD C9 14 E3 40 E3 1D 69 73 20 6F 6E 20 68 69 73 CD E3 FB 68 65 72 65 2E 2E 2E D1 49 6E 20 E3 BE 63 61 73 65 2C 20 70 6C 65 61 73 65 CD 72 65 74 75 72 6E 20 74 6F 20 79 6F 75 72 CD E3 79 61 74 20 6F 6E 63 65 2E	00:1 01:1 14:1 1D:1 BE:1 C2:1 C9:1 CD:4 D1:1 D7:1 E0:1 E3:5 FB:1	67	4	1	False	confirmed-record	[TOP][SPEAKER:01][NAME], hear that?\n[C9][14][E3]@[E3][1D]is on his\n[E3][FB]here...\fIn [E3][BE]case, please\nreturn to your\n[E3]yat once.		pending			
EN-05829B	main-dialogue-1	0x05829B	0x0582D2	55	D7 C3 02 20 20 20 43 72 69 73 70 79 20 53 68 6F 70 CD CD 20 41 20 74 6F 6F 6C 20 73 68 6F 70 20 74 6F 20 6D 61 6B 65 CD 20 6C 69 66 65 20 65 61 73 69 65 72 2E C3 00	00:1 02:1 C3:2 CD:3 D7:1	47	3	0	True	confirmed-record	[TOP][YELLOW]   Crispy Shop\n\n A tool shop to make\n life easier.[/HIGHLIGHT]		pending			
EN-0582D3	main-dialogue-1	0x0582D3	0x058336	99	D7 5B 52 65 63 65 6E 74 6C 79 20 C3 02 48 61 63 6B 65 72 73 C3 00 CD 20 E3 02 E3 3C 73 65 65 6E 20 6E 65 61 72 CD 20 68 65 72 65 2E D1 20 52 65 70 6F 72 74 20 E3 BE 73 75 73 70 69 63 69 6F 75 73 CD 20 70 65 72 73 6F 6E 73 21 20 CD CD 20 20 20 20 20 20 20 20 20 20 20 20 E3 9B 50 6F 6C 69 63 65 5D	00:1 02:2 9B:1 BE:1 C3:2 CD:5 D1:1 D7:1 E3:4	81	5	1	True	confirmed-record	[TOP][Recently [YELLOW]Hackers[/HIGHLIGHT]\n [E3][02][E3]<seen near\n here.\f Report [E3][BE]suspicious\n persons! \n\n            [E3][9B]Police]		pending			
EN-058337	main-dialogue-1	0x058337	0x05838B	84	D7 C3 02 20 5B 54 6F 77 6E 20 E3 F9 55 70 64 61 74 65 3A CD 20 E3 7F 6F 66 20 E3 00 65 61 72 74 68 71 75 61 6B 65 2C CD 20 E3 4B 6D 61 79 20 62 65 20 6C 61 6E 64 73 6C 69 64 65 73 CD 20 6E 65 61 72 20 E3 00 72 69 76 65 72 2E 20 42 65 77 61 72 65 21 5D	00:2 02:1 7F:1 C3:1 CD:3 D7:1 E3:5 F9:1	69	3	0	True	confirmed-record	[TOP][YELLOW] [Town [E3][F9]Update:\n [E3][7F]of [E3][00]earthquake,\n [E3]Kmay be landslides\n near [E3][00]river. Beware!]		pending			
EN-05838C	main-dialogue-1	0x05838C	0x0583CC	64	D7 C3 02 20 5B 54 6F 77 6E 20 E3 F9 55 70 64 61 74 65 3A CD 20 E3 04 E3 E4 45 69 6E 73 74 2C 20 74 6F CD 20 E3 81 E3 10 E3 11 74 6F 20 74 61 6C 6B CD 20 E3 0A E3 38 70 72 6F 62 6C 65 6D 2E 5D	02:1 04:1 0A:1 10:1 11:1 81:1 C3:1 CD:3 D7:1 E3:8 E4:1 F9:1	43	3	0	True	confirmed-record	[TOP][YELLOW] [Town [E3][F9]Update:\n [E3][04][E3][E4]Einst, to\n [E3][81][E3][10][E3][11]to talk\n [E3][0A][E3]8problem.]		pending			
EN-0583CD	main-dialogue-1	0x0583CD	0x058410	67	D7 C3 02 20 5B 41 54 54 45 4E 54 49 4F 4E 5D CD 20 53 6F 6D 65 20 E3 57 70 6C 61 79 69 6E 67 20 62 79 CD 20 E3 00 72 69 76 65 72 20 E3 02 67 6F 74 74 65 6E CD 20 6C 6F 73 74 2E 20 E3 33 68 65 6C 70 2E	00:1 02:2 C3:1 CD:3 D7:1 E3:4	55	3	0	True	confirmed-record	[TOP][YELLOW] [ATTENTION]\n Some [E3]Wplaying by\n [E3][00]river [E3][02]gotten\n lost. [E3]3help.		pending			
EN-058411	main-dialogue-1	0x058411	0x058488	119	D7 C3 02 20 5B 54 6F 77 6E 20 E3 F9 55 70 64 61 74 65 5D D1 20 E3 04 E3 6F E3 57 77 65 72 65 CD 20 72 65 74 75 72 6E 65 64 20 73 61 66 65 6C 79 20 74 68 61 6E 6B 73 CD 20 74 6F 20 C2 00 2C CD 20 E3 00 E3 47 E3 1F 52 6F 63 6F 63 6F 2E D1 20 E3 A3 C2 00 20 E3 12 72 65 63 65 69 76 65 CD 20 61 20 72 65 77 61 72 64 20 66 72 6F 6D CD 20 E3 00 4D 61 79 6F 72 2E	00:4 02:1 04:1 12:1 1F:1 A3:1 C2:2 C3:1 CD:5 D1:2 D7:1 E3:10 F9:1	88	5	2	True	confirmed-record	[TOP][YELLOW] [Town [E3][F9]Update]\f [E3][04][E3]o[E3]Wwere\n returned safely thanks\n to [NAME],\n [E3][00][E3]G[E3][1F]Rococo.\f [E3][A3][NAME] [E3][12]receive\n a reward from\n [E3][00]Mayor.		pending			
