# C0 translation review sheet generated from the verified catalog.
# id	offset	slot length	category	priority	duplicate of	translation	Japanese
C0-05806C	0x05806C	0x0021	early-town	P2		pending	[DFT][PAL:02][NXT]ず ·········\n[NXT]が あいにく 留守のようだ˳
C0-0580FE	0x0580FE	0x0042	early-story	P1		translated	[CLR]ˎがぐきHぐ[CLR]PがぐぎぐぴYぎび子ぽぴ造ぐぽき造[DFT] [NAM:00]は\n [KATAKANA]ポスト[HIRAGANA]の中を のぞいた\n だが何も入っていなかった˳
C0-058141	0x058141	0x007E	early-story	P1		translated	[DFT] [NAM:00]は\n [KATAKANA]ポスト[HIRAGANA]の中を のぞいた\n[PAU:0A] [KATAKANA]ポスト[HIRAGANA]の中には\n[PAL:03] [KATAKANA]ラブレター[HIRAGANA][PAL:00]が 入っていた![FIN][PAL:02] [KATAKANA]ポロン[HIRAGANA]さん あなたは私の太陽だ\n 私は その太陽を\n いつでも みつめていたいと思う\n[SKP:12]あなたの[KATAKANA]ファン[HIRAGANA]より
C0-0581C0	0x0581C0	0x0049	early-town	P2		translated	[DFT][E2:01C2]が きこえる?\n[PAU:14]今 おとうさまが ここに\n来ているんだけど···[FIN]とにかく 一度おうちに\n帰ってきてちょうだい\nおねがいよ˳
C0-05828C	0x05828C	0x0034	early-town	P2		pending	[DFT][PAL:02]   [KATAKANA]クリスピー[HIRAGANA]の店\n\n あなたの くらしをおたすけする\n べんりな 道具屋です˳[PAL:00]
C0-0582C1	0x0582C1	0x0056	early-town	P2		translated	[DFT]┌町の近辺に[PAL:02][KATAKANA]ハッカー[HIRAGANA][PAL:00]となのる\n あやしい人々が 現れています\n ふしんな人物を見かけましたら\n 通報を!    [KATAKANA]ロココ町警察[HIRAGANA]┘
C0-058318	0x058318	0x004B	early-town	P2		translated	[DFT][PAL:02] ┌町役場からのおしらせ┘\n 先日の地しんで 河の近くは\n 土砂くずれの危険があります\n 立入りをひかえてください˳
C0-058364	0x058364	0x0054	early-town	P2		translated	[DFT][PAL:02] ┌町役場からのおしらせ┘\n 天才発明家 [KATAKANA]ペッパー[HIRAGANA]さんが\n [KATAKANA]ハッカー対策[HIRAGANA]のため 来訪!\n 町長と 会談なさる予定です˳
C0-0583B9	0x0583B9	0x0051	early-town	P2		translated	[DFT][PAL:02] ┌町役場からのおねがい┘\n 河原のどうくつに 遊びに行った\n 子供たちが行方不明になってます\n そうさくに ご協力ください˳
C0-05840B	0x05840B	0x0086	early-story	P1		translated	[DFT][PAL:02] ┌町役場からのおしらせ┘\n 先日 行方不明になっていた\n 子供たちは [KATAKANA]ロココ町[HIRAGANA]にすむ\n 発明家[NAM:00]さんの手で[FIN] ぶじ 助けられました\n なお [NAM:00]さんには\n 町長から ほうしょう金が\n 手わたされる 予定です˳
